state,year,nationality,type,sex,agegrp,nPrisoners
A & N Islands,2005,Foreigners,Convicts,Male,16-18,0
A & N Islands,2005,Foreigners,Convicts,Male,18-30,0
A & N Islands,2005,Foreigners,Convicts,Male,30-50,0
A & N Islands,2005,Foreigners,Convicts,Male,50+,1
A & N Islands,2005,Foreigners,Under Trials,Female,16-18,0
A & N Islands,2005,Foreigners,Under Trials,Female,18-30,0
A & N Islands,2005,Foreigners,Under Trials,Female,30-50,0
A & N Islands,2005,Foreigners,Under Trials,Female,50+,0
A & N Islands,2005,Foreigners,Under Trials,Male,16-18,0
A & N Islands,2005,Foreigners,Under Trials,Male,18-30,50
A & N Islands,2005,Foreigners,Under Trials,Male,30-50,40
A & N Islands,2005,Foreigners,Under Trials,Male,50+,0
A & N Islands,2005,Indians,Convicts,Female,16-18,0
A & N Islands,2005,Indians,Convicts,Female,18-30,0
A & N Islands,2005,Indians,Convicts,Female,30-50,1
A & N Islands,2005,Indians,Convicts,Female,50+,0
A & N Islands,2005,Indians,Convicts,Male,16-18,0
A & N Islands,2005,Indians,Convicts,Male,18-30,12
A & N Islands,2005,Indians,Convicts,Male,30-50,40
A & N Islands,2005,Indians,Convicts,Male,50+,12
A & N Islands,2005,Indians,Under Trials,Female,16-18,0
A & N Islands,2005,Indians,Under Trials,Female,18-30,0
A & N Islands,2005,Indians,Under Trials,Female,30-50,3
A & N Islands,2005,Indians,Under Trials,Female,50+,0
A & N Islands,2005,Indians,Under Trials,Male,16-18,0
A & N Islands,2005,Indians,Under Trials,Male,18-30,30
A & N Islands,2005,Indians,Under Trials,Male,30-50,31
A & N Islands,2005,Indians,Under Trials,Male,50+,4
A & N Islands,2006,Foreigners,Convicts,Female,16-18,0
A & N Islands,2006,Foreigners,Convicts,Female,18-30,0
A & N Islands,2006,Foreigners,Convicts,Female,30-50,0
A & N Islands,2006,Foreigners,Convicts,Female,50+,0
A & N Islands,2006,Foreigners,Convicts,Male,16-18,0
A & N Islands,2006,Foreigners,Convicts,Male,18-30,9
A & N Islands,2006,Foreigners,Convicts,Male,30-50,15
A & N Islands,2006,Foreigners,Convicts,Male,50+,0
A & N Islands,2006,Foreigners,Under Trials,Female,16-18,0
A & N Islands,2006,Foreigners,Under Trials,Female,18-30,0
A & N Islands,2006,Foreigners,Under Trials,Female,30-50,0
A & N Islands,2006,Foreigners,Under Trials,Female,50+,0
A & N Islands,2006,Foreigners,Under Trials,Male,16-18,0
A & N Islands,2006,Foreigners,Under Trials,Male,18-30,110
A & N Islands,2006,Foreigners,Under Trials,Male,30-50,68
A & N Islands,2006,Foreigners,Under Trials,Male,50+,0
A & N Islands,2006,Indians,Convicts,Female,16-18,0
A & N Islands,2006,Indians,Convicts,Female,18-30,0
A & N Islands,2006,Indians,Convicts,Female,30-50,1
A & N Islands,2006,Indians,Convicts,Female,50+,0
A & N Islands,2006,Indians,Convicts,Male,16-18,0
A & N Islands,2006,Indians,Convicts,Male,18-30,10
A & N Islands,2006,Indians,Convicts,Male,30-50,39
A & N Islands,2006,Indians,Convicts,Male,50+,7
A & N Islands,2006,Indians,Under Trials,Female,16-18,0
A & N Islands,2006,Indians,Under Trials,Female,18-30,0
A & N Islands,2006,Indians,Under Trials,Female,30-50,1
A & N Islands,2006,Indians,Under Trials,Female,50+,0
A & N Islands,2006,Indians,Under Trials,Male,16-18,0
A & N Islands,2006,Indians,Under Trials,Male,18-30,38
A & N Islands,2006,Indians,Under Trials,Male,30-50,41
A & N Islands,2006,Indians,Under Trials,Male,50+,7
A & N Islands,2007,Foreigners,Convicts,Female,16-18,0
A & N Islands,2007,Foreigners,Convicts,Female,18-30,0
A & N Islands,2007,Foreigners,Convicts,Female,30-50,0
A & N Islands,2007,Foreigners,Convicts,Female,50+,0
A & N Islands,2007,Foreigners,Convicts,Male,16-18,0
A & N Islands,2007,Foreigners,Convicts,Male,18-30,21
A & N Islands,2007,Foreigners,Convicts,Male,30-50,7
A & N Islands,2007,Foreigners,Convicts,Male,50+,0
A & N Islands,2007,Foreigners,Under Trials,Female,16-18,0
A & N Islands,2007,Foreigners,Under Trials,Female,18-30,0
A & N Islands,2007,Foreigners,Under Trials,Female,30-50,0
A & N Islands,2007,Foreigners,Under Trials,Female,50+,0
A & N Islands,2007,Foreigners,Under Trials,Male,16-18,0
A & N Islands,2007,Foreigners,Under Trials,Male,18-30,146
A & N Islands,2007,Foreigners,Under Trials,Male,30-50,110
A & N Islands,2007,Foreigners,Under Trials,Male,50+,0
A & N Islands,2007,Indians,Convicts,Female,16-18,0
A & N Islands,2007,Indians,Convicts,Female,18-30,0
A & N Islands,2007,Indians,Convicts,Female,30-50,1
A & N Islands,2007,Indians,Convicts,Female,50+,0
A & N Islands,2007,Indians,Convicts,Male,16-18,0
A & N Islands,2007,Indians,Convicts,Male,18-30,16
A & N Islands,2007,Indians,Convicts,Male,30-50,40
A & N Islands,2007,Indians,Convicts,Male,50+,3
A & N Islands,2007,Indians,Under Trials,Female,16-18,0
A & N Islands,2007,Indians,Under Trials,Female,18-30,0
A & N Islands,2007,Indians,Under Trials,Female,30-50,1
A & N Islands,2007,Indians,Under Trials,Female,50+,0
A & N Islands,2007,Indians,Under Trials,Male,16-18,0
A & N Islands,2007,Indians,Under Trials,Male,18-30,35
A & N Islands,2007,Indians,Under Trials,Male,30-50,28
A & N Islands,2007,Indians,Under Trials,Male,50+,5
A & N Islands,2008,Foreigners,Convicts,Female,16-18,0
A & N Islands,2008,Foreigners,Convicts,Female,18-30,0
A & N Islands,2008,Foreigners,Convicts,Female,30-50,0
A & N Islands,2008,Foreigners,Convicts,Female,50+,0
A & N Islands,2008,Foreigners,Convicts,Male,16-18,0
A & N Islands,2008,Foreigners,Convicts,Male,18-30,11
A & N Islands,2008,Foreigners,Convicts,Male,30-50,6
A & N Islands,2008,Foreigners,Convicts,Male,50+,2
A & N Islands,2008,Foreigners,Under Trials,Female,16-18,0
A & N Islands,2008,Foreigners,Under Trials,Female,18-30,0
A & N Islands,2008,Foreigners,Under Trials,Female,30-50,0
A & N Islands,2008,Foreigners,Under Trials,Female,50+,0
A & N Islands,2008,Foreigners,Under Trials,Male,16-18,0
A & N Islands,2008,Foreigners,Under Trials,Male,18-30,28
A & N Islands,2008,Foreigners,Under Trials,Male,30-50,21
A & N Islands,2008,Foreigners,Under Trials,Male,50+,1
A & N Islands,2008,Indians,Convicts,Female,16-18,0
A & N Islands,2008,Indians,Convicts,Female,18-30,0
A & N Islands,2008,Indians,Convicts,Female,30-50,0
A & N Islands,2008,Indians,Convicts,Female,50+,0
A & N Islands,2008,Indians,Convicts,Male,16-18,0
A & N Islands,2008,Indians,Convicts,Male,18-30,6
A & N Islands,2008,Indians,Convicts,Male,30-50,36
A & N Islands,2008,Indians,Convicts,Male,50+,7
A & N Islands,2008,Indians,Under Trials,Female,16-18,0
A & N Islands,2008,Indians,Under Trials,Female,18-30,0
A & N Islands,2008,Indians,Under Trials,Female,30-50,0
A & N Islands,2008,Indians,Under Trials,Female,50+,0
A & N Islands,2008,Indians,Under Trials,Male,16-18,0
A & N Islands,2008,Indians,Under Trials,Male,18-30,39
A & N Islands,2008,Indians,Under Trials,Male,30-50,62
A & N Islands,2008,Indians,Under Trials,Male,50+,2
A & N Islands,2009,Foreigners,Convicts,Female,16-18,0
A & N Islands,2009,Foreigners,Convicts,Female,18-30,0
A & N Islands,2009,Foreigners,Convicts,Female,30-50,0
A & N Islands,2009,Foreigners,Convicts,Female,50+,0
A & N Islands,2009,Foreigners,Convicts,Male,16-18,0
A & N Islands,2009,Foreigners,Convicts,Male,18-30,0
A & N Islands,2009,Foreigners,Convicts,Male,30-50,0
A & N Islands,2009,Foreigners,Convicts,Male,50+,0
A & N Islands,2009,Foreigners,Under Trials,Female,16-18,0
A & N Islands,2009,Foreigners,Under Trials,Female,18-30,0
