State_UT_name,Year,Jail_Type,Total_Convicts,Total_Under_trial,Total
Chandigarh,2007,Borstal School,0,0,0
Chandigarh,2007,Open Jail,0,0,0
Chandigarh,2007,Special Jail,0,0,0
Chandigarh,2007,Others,0,0,0
Chandigarh,2007,Total,146,355,501
Chandigarh,2008,Central Jail,188,338,526
Chandigarh,2008,District Jail,0,0,0
Chandigarh,2008,Sub_Jail,0,0,0
Chandigarh,2008,Women Jail,0,0,0
Chandigarh,2008,Borstal School,0,0,0
Chandigarh,2008,Open Jail,0,0,0
Chandigarh,2008,Special Jail,0,0,0
Chandigarh,2008,Others,0,0,0
Chandigarh,2008,Total,188,338,526
Chandigarh,2009,Central Jail,244,399,643
Chandigarh,2009,District Jail,0,0,0
Chandigarh,2009,Sub_Jail,0,0,0
Chandigarh,2009,Women Jail,0,0,0
Chandigarh,2009,Borstal School,0,0,0
Chandigarh,2009,Open Jail,0,0,0
Chandigarh,2009,Special Jail,0,0,0
Chandigarh,2009,Others,0,0,0
Chandigarh,2009,Total,244,399,643
Chandigarh,2010,Central Jail,221,419,640
Chandigarh,2010,District Jail,0,0,0
Chandigarh,2010,Sub_Jail,0,0,0
Chandigarh,2010,Women Jail,0,0,0
Chandigarh,2010,Borstal School,0,0,0
Chandigarh,2010,Open Jail,0,0,0
Chandigarh,2010,Special Jail,0,0,0
Chandigarh,2010,Others,0,0,0
Chandigarh,2010,Total,221,419,640
Chandigarh,2011,Central Jail,242,384,626
Chandigarh,2011,District Jail,0,0,0
Chandigarh,2011,Sub_Jail,0,0,0
Chandigarh,2011,Women Jail,0,0,0
Chandigarh,2011,Borstal School,0,0,0
Chandigarh,2011,Open Jail,0,0,0
Chandigarh,2011,Special Jail,0,0,0
Chandigarh,2011,Others,0,0,0
Chandigarh,2011,Total,242,384,626
Chandigarh,2012,Central Jail,261,473,734
Chandigarh,2012,District Jail,0,0,0
Chandigarh,2012,Sub_Jail,0,0,0
Chandigarh,2012,Women Jail,0,0,0
Chandigarh,2012,Borstal School,0,0,0
Chandigarh,2012,Open Jail,0,0,0
Chandigarh,2012,Special Jail,0,0,0
Chandigarh,2012,Others,0,0,0
Chandigarh,2012,Total,261,473,734
D & N Haveli,2001,Central Jail,0,0,0
D & N Haveli,2001,District Jail,0,0,0
D & N Haveli,2001,Sub_Jail,8,158,166
D & N Haveli,2001,Women Jail,0,0,0
D & N Haveli,2001,Borstal School,0,0,0
D & N Haveli,2001,Open Jail,0,0,0
D & N Haveli,2001,Special Jail,0,0,0
D & N Haveli,2001,Others,0,0,0
D & N Haveli,2001,Total,8,158,166
D & N Haveli,2002,Central Jail,0,0,0
D & N Haveli,2002,District Jail,0,0,0
